formula,score,activation_mean,activation_std,radioactive_mean,radioactive_std,transmuted_mean,transmuted_std,thermal_mean,thermal_std,ductility_mean,ductility_std
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
Cu1.0,1.3223273510344595,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,5.968401699443916e-12,6.911793223632278e-13,0.9126652499999998,0.08057540400108149,0.9185757737355916,0.04496669150352849
