formula,score,activation_mean_x,activation_std_x,thermal_mean_x,thermal_std_x,ductility_mean_x,ductility_std_x,activation_mean_y,activation_std_y,thermal_mean_y,thermal_std_y,ductility_mean_y,ductility_std_y,reason,experiment,raw
Al0.879452-Nb0.120548,0.259857933511489,1.0429143993993994,0.06067951285332495,0.4238160375375375,0.037274501623825576,0.927390878096389,0.03270195424907061,1.0429143993993994,0.0606795128533249,0.4238160375375375,0.0372745016238255,0.927390878096389,0.0327019542490706,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.793701-Mo0.206299,0.24190817105809329,1.0548512032032031,0.126988388842729,0.43176513788788784,0.0356623666459084,0.9518916287720814,0.049611015467194326,1.0548512032032031,0.126988388842729,0.4317651378878878,0.0356623666459084,0.9518916287720814,0.0496110154671943,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.494737-Mo0.505263,0.23281336978415534,1.0279595000000001,0.05785969330846823,0.41962989864864864,0.049012831742855784,0.9220076094337286,0.09633348659833979,1.0279595,0.0578596933084682,0.4196298986486486,0.0490128317428557,0.9220076094337286,0.0963334865983397,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
W0.097528-Al0.902472,0.2318338246751448,1.0738697052052053,0.1453761940696431,0.43927436311311313,0.0343551266730779,0.9581495092300814,0.055471140611235537,1.0738697052052053,0.1453761940696431,0.4392743631131131,0.0343551266730779,0.9581495092300814,0.0554711406112355,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.744123-Mo0.255877,0.21794319632252968,1.0789155675675675,0.15251211788021637,0.43295650875750874,0.03647098132381979,0.9551469483221624,0.05465812582592656,1.0789155675675677,0.1525121178802163,0.4329565087575087,0.0364709813238197,0.9551469483221624,0.0546581258259265,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.741221-Mo0.258779,0.21707435787292445,1.079350086086086,0.15408536055532365,0.4329750733220733,0.036459827265218,0.9551469483221624,0.05465812582592656,1.079350086086086,0.1540853605553236,0.4329750733220733,0.036459827265218,0.9551469483221624,0.0546581258259265,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.453431-Mo0.546569,0.21468740129176658,1.030034,0.06117160651805707,0.4202696599099099,0.04889940260691759,0.9015270889068618,0.10605685580319905,1.030034,0.061171606518057,0.4202696599099099,0.0488994026069175,0.9015270889068618,0.106056855803199,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
W0.501223-Al0.498777,0.19796784659946962,1.068866213893714,0.097947289131613,0.46813657628757627,0.031371471400753394,0.8784311252157687,0.14341628659908856,1.068866213893714,0.097947289131613,0.4681365762875762,0.0313714714007533,0.8784311252157687,0.1434162865990885,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.531257-W0.468743,0.19621187669220072,1.0642707338737338,0.0929054393106581,0.4582203018348018,0.03556287774582934,0.882841398490235,0.13985366726606657,1.0642707338737338,0.0929054393106581,0.4582203018348018,0.0355628777458293,0.882841398490235,0.1398536672660665,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.996868-Mn0.003132,0.19439000188771682,1.1058789039039039,0.13466629415917974,0.4231447940440439,0.04016353645048479,0.932617638226462,0.031379052753979536,1.105878903903904,0.1346662941591797,0.4231447940440439,0.0401635364504847,0.932617638226462,0.0313790527539795,High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention.,,"""reason"":""High Al fraction tends to reduce neutron activation and supports ductility; Mo increases thermal conductivity and perform a short irradiation proxy (ion-implantation) followed by hardness/EDX to check retention."""
Al0.996811-Cr0.003189,0.19435435692973757,1.1068583058058057,0.13635125695666817,0.4237989872372372,0.039787965894371786,0.9330541586411282,0.030816385361383588,,,,,,,,,
W0.514407-Al0.485593,0.19358350473678992,1.070139183923684,0.09862646772025224,0.46938416567541563,0.030713310602390825,0.873499221899851,0.1478558895693176,,,,,,,,,
Al0.490089-W0.509911,0.19246618903868057,1.069948703903704,0.09822664048278569,0.4681335762875763,0.031378320992462516,0.873499221899851,0.1478558895693176,,,,,,,,,
Mo0.412056-Al0.587944,0.1920275817786582,1.0698230025025026,0.12464726389083627,0.4234909724724724,0.04668012810983436,0.9291463913970973,0.09044342495763887,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
Al1.0,0.18936195522932708,1.1068199039039037,0.14132523979961817,0.4207551576576576,0.04109183283449326,0.9328624970970053,0.029941033811952678,,,,,,,,,
